Name,Latitude,Longitude,Description,Media,link,category
Southeast Asia Mixtape,0,105,The sounds and faces of Indonesia and Malaysia aboard the National Geographic Orion.,https://public.flourish.studio/uploads/3371688/55a446ec-8ce9-48bb-97dc-6e39ed63931d.avif,https://www.annalisepasztor.com/mixtape/orion,mixtape
Icelandic Mixtape,65,-18,Songs from the land of fire and ice.,https://public.flourish.studio/uploads/3371688/8462332e-d872-49a2-8a5f-e69ac5073adf.avif,https://www.annalisepasztor.com/mixtape/iceland,mixtape
Sakura Yabusame Mixtape,40,141,"Warrior-approved tunes from the women-only horseback archery competition in Towada, Aomori, Japan.",https://public.flourish.studio/uploads/3371688/3838dc7a-4234-4ba7-a2a5-acdf16cde519.jpg,https://www.annalisepasztor.com/mixtape/yabusame,mixtape
Mediterranean Mixtape,37,25,A sun-saturated collection from Greece and Türkiye.,https://public.flourish.studio/uploads/3371688/f04ce2de-369d-4110-863c-60023b67317e.jpg,https://www.annalisepasztor.com/mixtape/med,mixtape
Explorer Mixtape,-58,-62,A playlist by and for the people who make the NG Explorer ship feel like a floating home.,https://public.flourish.studio/uploads/3371688/1b478800-573d-494b-b5c8-4180630d76e0.avif,https://www.annalisepasztor.com/mixtape/ngex,mixtape
